query_id	query_text	class_label
oos_val-88	are white and brown eggs any different	oos
oos_val-89	where do eggs come from	oos
oos_val-90	how can i easily replace a string on my guitar	oos
oos_val-91	how do you learn how to play electric violin	oos
oos_val-92	can you give me the standard tuning notes	oos
oos_val-93	what is the cheapest electric guitar	oos
oos_val-94	you want to know about current time now	oos
oos_val-95	what does it mean to have equality	oos
oos_val-96	what site publishes the most fake news	oos
oos_val-97	can you tell me some fake news	oos
oos_val-98	is cnn really fake news	oos
oos_val-99	why is there fake news	oos
val-0	in spanish, meet me tomorrow is said how	translate
val-1	in french, how do i say, see you later	translate
val-2	how do you say hello in japanese	translate
val-3	how do i ask about the weather in chinese	translate
val-4	how can i say "cancel my order" in french	translate
val-5	how do i say dinner in spanish	translate
val-6	how do you say good bye in french	translate
val-7	how do i say thank you in spanish	translate
val-8	how do i say good bye in chinese	translate
val-9	how can i say thank you very much in chinese	translate
val-10	i need to know how to say hello in france	translate
val-11	would you tell me how to say goodbye in france	translate
val-12	how do you say hello in mexico	translate
val-13	tell me how to say hello in chile	translate
val-14	i want to know how to say goodbye in france	translate
val-15	would you translate a sentence into russian for me, please	translate
val-16	would you translate a phrase into mandarin for me	translate
val-17	can you translate this name into spanish for me, please	translate
val-18	could you translate this into chinese for me, please	translate
val-19	could you translate water into dutch for me	translate
val-20	transfer ten dollars from my wells fargo account to my bank of america account	transfer
val-21	take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account	transfer
val-22	put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account	transfer
val-23	move two hundred dollars to my chase savings account to my wells fargo checking account	transfer
val-24	move three hundred and fifty dollars from my citibank savings account to my chase savings account	transfer
val-25	move a dollar from my checkings to my savings	transfer
val-26	move my money to the other account	transfer
val-27	transfer funds to the other account	transfer
val-28	please transfer half of my funds to an alternate account	transfer
val-29	can you move my money to my savings	transfer
val-30	make an eft to my savings from my checking account	transfer
val-31	send 100 dollars from my vanguard money market to my wells fargo savings	transfer
val-32	i need 200 dollars transferred from my long island savings account to my chase checking	transfer
val-33	send from my bbc money market to my t rowe price money market seven thousand dollars	transfer
val-34	i need 2000 to go to my chase checking from my mellon bank savings account	transfer
val-35	move 100 dollars from my savings to my checking	transfer
val-36	transfer 1000 dollars from my first national bank to my bethpage federal credit union savings	transfer
val-37	take out of my checking 400 dollars and put it into my emergency savings account	transfer
val-38	i need to transfer one thousand dollars to my savings account from my checking	transfer
val-39	transfer 50 dollars from my checking account to my money market account	transfer
val-40	create a new timer	timer
val-41	i'd like to set a new timer	timer
val-42	help me set a timer please	timer
val-43	10 minutes is what the timer should be set at	timer
val-44	the timer should have 10 minutes set to it	timer
val-45	10 minutes is the setting for the timer	timer
val-46	the timer is calculated for 10 minutes	timer
val-47	set the timer for 10 minutes	timer
val-48	can you set a 30 second timer	timer
val-49	please set a timer to go off in 45 minutes	timer
val-50	i need you to create a timer	timer
val-51	i need a timer set please	timer
val-52	create a timer that is set to go off after 25 mins	timer
val-53	i need a timer that is set at 1 hour exactly	timer
val-54	could you set up a timer for me	timer
val-55	will you start a timer for me	timer
val-56	set up a 52 minute timer	timer
val-57	please set up a timer for me	timer
val-58	set 60 minutes for oven please	timer
val-59	please make the timer for cooking for for 2 hours	timer
val-60	may i please have a definition for the work churlish	definition
val-61	i want to know what trenchant means	definition
val-62	what is the meaning of fascism	definition
val-63	can you tell me what a septuagenarian is	definition
val-64	can you define the word schadenfreude	definition
val-65	what does unsavory mean	definition
val-66	please define erection for me	definition
val-67	what does idiosyncratic mean	definition
val-68	tell me the meaning of condemnation	definition
val-69	define monetary for me please	definition
val-70	tell me the meaning of hegemony	definition
val-71	what does indignation mean	definition
val-72	define ambivalence for me please	definition
val-73	please define institutional racism	definition
val-74	define antagonist for me please	definition
val-75	what does distinguish mean	definition
val-76	what is the meaning of word alliance	definition
val-77	i need to know what dominate means	definition
val-78	what is the definition of the word migrate	definition
val-79	tell me please what paean means	definition
val-80	i want to know what the purpose of life is	meaning_of_life
val-81	i want to hear what you think life's purpose is about	meaning_of_life
val-82	what do you think the purpose of life is	meaning_of_life
val-83	what is the purpose of existence	meaning_of_life
val-84	what do you think our purpose is in life	meaning_of_life
val-85	i'd like to know the meaning of life	meaning_of_life
val-86	what's your opinion on the meaning of life	meaning_of_life
val-87	what is life's purpose	meaning_of_life
val-88	tell me all about the meaning of life	meaning_of_life
val-89	tell me your thoughts about the meaning of life	meaning_of_life
val-90	do you have any ideas on the meaning of life	meaning_of_life
val-91	do you know the deeper meaning of life	meaning_of_life
val-92	tell me the meaning of life	meaning_of_life
val-93	can you tell me, what is the meaning of life	meaning_of_life
val-94	what is the meaning behind life, do you think	meaning_of_life
val-95	what is our purpose	meaning_of_life
val-96	what do you think we are on earth for	meaning_of_life
val-97	what do you think life is really about	meaning_of_life
val-98	do you think we have a higher calling	meaning_of_life
val-99	why are humans on earth	meaning_of_life
val-100	explain how do i get new insurance	insurance_change
val-101	tell me how to get new insurance	insurance_change
val-102	explain to me how do i get new insurance	insurance_change
val-103	i want to get new insurance	insurance_change
val-104	can you tell me how do i get new insurance	insurance_change
val-105	i'd like to know how changes are made to my insurance policy	insurance_change
val-106	how can i make changes for my insurance policy	insurance_change
val-107	can you tell me how changes on my insurance policy can be made	insurance_change
val-108	i'd like to know how to make changes for my insurance policy	insurance_change
val-109	could you tell me how to make changes to my insurance policy	insurance_change
val-110	tell me how to change my policy	insurance_change
val-111	i need to switch insurance plans	insurance_change
val-112	can you help me switch insurance plans	insurance_change
val-113	tell me how to make changes to my insurance policy	insurance_change
val-114	how do i switch to a new insurance plan	insurance_change
val-115	can you help me switch to a new insurance plan	insurance_change
val-116	how can i change information on my insurance policy	insurance_change
val-117	how do i make changes to my insurance policy	insurance_change
val-118	tell me how to change my insurance policy	insurance_change
val-119	i need to change my insurance policy, how	insurance_change
val-120	please help me in finding my phone	find_phone
val-121	please help me find my lost phone	find_phone
val-122	i need your help finding my lost phone	find_phone
val-123	help me find my phone please	find_phone
val-124	tell me where i left my phone	find_phone
val-125	what did i do with my phone	find_phone
val-126	can you tell me where my phone is	find_phone
val-127	what happened to my cellphone	find_phone
val-128	do you remember where i left my cellphone	find_phone
val-129	where is my cellphone	find_phone
val-130	do you know where my cellphone is	find_phone
val-131	i have lost my phone	find_phone
val-132	help me, i don't know where my phone is	find_phone
val-133	tell me my phone's location	find_phone
val-134	where would my phone be	find_phone
val-135	i need to know my phone's location	find_phone
val-136	help locate my phone	find_phone
val-137	can you find me my phone	find_phone
val-138	track down my phone for me	find_phone
val-139	my phone is lost and i need help finding it	find_phone
val-140	is traveling to france safe	travel_alert
val-141	is france safe to travel to	travel_alert
val-142	i need to know is traveling to france safe	travel_alert
val-143	can i travel to france as far as safety goes	travel_alert
val-144	can i safely travel to france or is it dangerous	travel_alert
val-145	are there any current travel alerts for brazil	travel_alert
val-146	are there any travel alerts for seattle	travel_alert
val-147	how safe is it to travel to guatemala right now and are there any alerts	travel_alert
val-148	are there any travel alerts for juarez	travel_alert
val-149	what's the danger level of flying to russia right now	travel_alert
val-150	are there any travel alerts for antarctica	travel_alert
val-151	are there any travel alerts for mountain view	travel_alert
val-152	does mexico have any travel alerts i should know about	travel_alert
val-153	does greece currently have any travel alerts in place	travel_alert
val-154	are there any travel alerts for brazil	travel_alert
val-155	how safe is it to visit spain	travel_alert
val-156	how safe is visiting canada this week	travel_alert
val-157	have the riots in france triggered any alerts for people traveling to there	travel_alert
val-158	is there any danger going to brazil	travel_alert
val-159	is it safe to travel to mexico	travel_alert
val-160	please request pto for march 2 and 3	pto_request
val-161	i am requesting pto for march 2 and 3	pto_request
val-162	can you please request pto for march 2 and 3	pto_request
val-163	i would like to request pto for march 2 and 3	pto_request
val-164	i need to request pto for march 2 and 3	pto_request
val-165	let me know how to make a vacation request	pto_request
val-166	i need to make a vacation request; how	pto_request
val-167	can i put in a pto request for may 1 to may 5	pto_request
val-168	tell me how to make a vacation request	pto_request
val-169	i would like to know if i can put a pto request in for march 19 to march 20	pto_request
val-170	am i able to put in a pto request for may 6 to may 18	pto_request
val-171	provide assistance on what to do to make a vacation request	pto_request
val-172	i need to know how to make a vacation request	pto_request
val-173	i need to know if i can put a pto request in for march 10 to march 12	pto_request
val-174	tell me whether i can put a pto request in for may 10 to may 15	pto_request
val-175	what is the process for making a vacation request	pto_request
val-176	what's the method for requesting a vacation	pto_request
val-177	what are the steps required for making a vacation request	pto_request
val-178	please help me make a request for vacation	pto_request
val-179	i have a vacation request that i need made	pto_request
val-180	what are some ways to raise my credit score	improve_credit_score
val-181	what will help my credit score	improve_credit_score
val-182	are there any videos on how to repair my credit score	improve_credit_score
val-183	what can i do to get a better credit score	improve_credit_score
val-184	will getting a credit card help my credit score	improve_credit_score
val-185	what are the top 10 ways to build my credit score	improve_credit_score
val-186	how can i build up my credit score	improve_credit_score
val-187	how can i build my credit score	improve_credit_score
val-188	what are some easy ways to make my credit score better	improve_credit_score
val-189	how do i prevent my credit score from dropping	improve_credit_score
val-190	how should i go about improving my credit score	improve_credit_score
val-191	how can i make sure that my credit score does not decrease	improve_credit_score
val-192	what is the best way to insure that my credit score doesn't decrease	improve_credit_score
val-193	what things can i do to increase my credit score	improve_credit_score
val-194	what is the best way to keep my credit score from going down	improve_credit_score
val-195	what is the best thing for me to do to improve my credit score quickly	improve_credit_score
val-196	how can i safeguard my credit score from dropping	improve_credit_score
val-197	do i have options on how to improve my credit score	improve_credit_score
val-198	what steps can i take to improve my credit score	improve_credit_score
val-199	show me a plan to help my credit score rating	improve_credit_score
val-200	tell me something interesting about lake tahoe	fun_fact
val-201	tell me a cool fact about reno	fun_fact
val-202	tell me something interesting about new york state	fun_fact
val-203	give me a cool fact about new orleans	fun_fact
val-204	give me a cool fact about seattle	fun_fact
val-205	tell me something interesting about elephants	fun_fact
val-206	tell me something interesting about dogs	fun_fact
val-207	give me a cool fact about potatoes	fun_fact
val-208	give me a cool fact about puppies	fun_fact
val-209	give me a cool fact about lsd	fun_fact
val-210	tell me a fun fact about the moon landing	fun_fact
val-211	what's a fun fact about axolotls	fun_fact
val-212	tell me a fact about the maned wolf	fun_fact
val-213	give me harry potter trivia	fun_fact
val-214	tell me an axolotl fact	fun_fact
val-215	i need a spider fact	fun_fact
val-216	show me trivia about cats	fun_fact
val-217	read me some different cat trivia items	fun_fact
val-218	find me cat trivia now please	fun_fact
val-219	read me cat trivia	fun_fact
val-220	i need new language	change_language
val-221	switch language for me	change_language
val-222	please change your language setting to russian	change_language
val-223	you must change your language setting to russian	change_language
val-224	you need to change your language setting to russian please	change_language
val-225	change language please	change_language
val-226	please change your language setting to spanish now	change_language
val-227	change your language setting to spanish	change_language
val-228	i want new language	change_language
val-229	please change the language	change_language
val-230	speak arabic	change_language
val-231	speak navajo	change_language
val-232	speak german	change_language
val-233	speak french	change_language
val-234	speak mandarin	change_language
val-235	change response language from mandarin to english	change_language
val-236	please respond to me in english from now on	change_language
val-237	please change your response language to english	change_language
val-238	how can i change your response language	change_language
val-239	change the language to english	change_language
val-240	when's the next time i get paid	payday
val-241	when's my next paycheck coming in	payday
val-242	what's the date of my next paycheck	payday
val-243	when do i get my paycheck	payday
val-244	which day is pay day	payday
val-245	which day is it that my payment comes in	payday
val-246	when am i paid or how often	payday
val-247	how many days until i get my payment	payday
val-248	what was the last check date	payday
val-249	when was i paid most recently	payday
val-250	what was the date of my last paycheck	payday
val-251	when did i get my check last	payday
val-252	how long has it been since i was paid	payday
val-253	how many times do i get paid in march	payday
val-254	what date is the next payday	payday
val-255	i am trying to find out when is the next payday	payday
val-256	what date is the next day i get paid	payday
val-257	when is the next payday	payday
val-258	what is my pay	payday
val-259	how much is on my paycheck this week	payday
val-260	what's the time of arrival on my new credit card	replacement_card_duration
val-261	tell me the duration it takes to get a new cc	replacement_card_duration
val-262	is it a short time before i receive my new credit card	replacement_card_duration
val-263	how long before my updated cc takes to arrive	replacement_card_duration
val-264	how long does it take a new card to arrive in the mail to me	replacement_card_duration
val-265	what is the length of time it takes a new card to get mailed to me	replacement_card_duration
val-266	about how long does it usually take a new card to get mailed to me	replacement_card_duration
val-267	how much time does it take a new card to get mailed to me	replacement_card_duration
val-268	how soon does it take a card new card to get mailed to me	replacement_card_duration
val-269	after losing a credit card, how long does it take to get a new one	replacement_card_duration
val-270	if i lose my credit card, will i get a replacement immediately	replacement_card_duration
val-271	what is the time frame for receiving a new credit card if my original one gets lost	replacement_card_duration
val-272	will i have to wait a long time to receive my new credit card after i lost my old one	replacement_card_duration
val-273	how long should i expect to wait for my replacement credit card	replacement_card_duration
val-274	will my new credit card be here this week	replacement_card_duration
val-275	how long does it usually take for a new credit card to come	replacement_card_duration
val-276	what is the eta on getting a replacement card	replacement_card_duration
val-277	show tracking information on my replacement credit card	replacement_card_duration
val-278	when will i get my replacement card	replacement_card_duration
val-279	will it take more than a month to get a new card	replacement_card_duration
val-280	what time is it in france	time
val-281	what's the time in london right now	time
val-282	what hour is it in london	time
val-283	what's the time	time
val-284	what is the time in london	time
val-285	i need to know what time it is	time
val-286	what time of day is it in london	time
val-287	tell me what time it is	time
val-288	what time of day is it	time
val-289	what time is it in the pacific timezone	time
val-290	what time is it in pacific standard time	time
val-291	what time is it over in pacific time	time
val-292	what time is in over there in pacific standard time	time
val-293	what time is it in the pacific standard time	time
val-294	what is the time in paris now	time
val-295	time in manhattan	time
val-296	how late is it now in ourense	time
val-297	what is the current time right now in hollywood	time
val-298	what time is it now in michigan	time
val-299	what's the clock say	time
val-300	what is the present status of my credit card application	application_status
val-301	what is the current status of my credit card application	application_status
val-302	in what status is my credit card application currently in	application_status
val-303	how far along is my credit card application	application_status
val-304	what is the status of my credit card application looking like	application_status
val-305	pull up my credit card application's current status	application_status
val-306	has my credit card application processed yet	application_status
val-307	check the status of my credit card application please	application_status
val-308	has my card application successfully gone through	application_status
val-309	go to the credit card site and check if my application has gone through	application_status
val-310	has my credit card application been approved yet	application_status
val-311	can you check on the status of my credit card application	application_status
val-312	i would like to know if my visa card application has been approved	application_status
val-313	can you let me know if my visa card has been approved	application_status
val-314	at what point will the review of my credit card application be completed	application_status
val-315	can you check if my mastercard application has been reviewed yet	application_status
val-316	has my visa card application been approved yet	application_status
val-317	please let me know how my credit card application is going	application_status
val-318	when will my credit card application be reviewed	application_status
val-319	please let me know if my discover card application has been approved	application_status
val-320	when is my flight going to board	flight_status
val-321	when am i boarding my flight	flight_status
val-322	at what time should i be boarding my flight	flight_status
val-323	can you please update the status of flight dl123	flight_status
val-324	when is the expected arrival of flight dl123	flight_status
val-325	is flight dl123 due to land as schedule	flight_status
val-326	will flight dl123 be on time	flight_status
val-327	are there any expected delays for flight dl123	flight_status
val-328	i would like to know flight dl123's status	flight_status
val-329	tell me flight dl123's statud	flight_status
val-330	for flight dl123 what's the status	flight_status
val-331	could you tell me the status of flight dl123	flight_status
val-332	when is my flight expected to arrive	flight_status
val-333	at what time is my flight scheduled to land	flight_status
val-334	what time is my flight going to land	flight_status
val-335	ostensibly when is my flight going to land	flight_status
val-336	when is my flight going to arrive	flight_status
val-337	what time does my flight board	flight_status
val-338	what is the boarding time for my upcoming flight	flight_status
val-339	when is my flight boarding	flight_status
val-340	flip a normal coin	flip_coin
val-341	flip a heads or tails coin i pick heads	flip_coin
val-342	flip a coin, i choose heads	flip_coin
val-343	please flip a coin - i call heads	flip_coin
val-344	can you flip a coin i pick heads	flip_coin
val-345	please flip coin ai	flip_coin
val-346	flip a coin now	flip_coin
val-347	please flip a coin	flip_coin
val-348	i need you to flip a coin	flip_coin
val-349	flip coin ai	flip_coin
val-350	please go ahead and flip a coin	flip_coin
val-351	flip the coin ai	flip_coin
val-352	please flip coin	flip_coin
val-353	i wanna flip a coin	flip_coin
val-354	please flip the coin	flip_coin
val-355	please flip the coin over ai	flip_coin
val-356	i'm wanting you to flip a coin	flip_coin
val-357	flip me a coin	flip_coin
val-358	i want you to flip a coin now	flip_coin
val-359	i call tails and you call heads on this coin flip i need you to do	flip_coin
val-360	will you start calling me chaz	change_user_name
val-361	stop calling me charlie and from now on always call me chip	change_user_name
val-362	from now on, refer to me as chuck	change_user_name
val-363	please call me charlile from here on out ok	change_user_name
val-364	i want you to call me a different name so can you call me charchar	change_user_name
val-365	please change my name to tom	change_user_name
val-366	from now on, my name is tom	change_user_name
val-367	i want to be called tom	change_user_name
val-368	please call me tom	change_user_name
val-369	you can call me jason	change_user_name
val-370	my name is jason	change_user_name
val-371	jason is my name	change_user_name
val-372	i prefer to be called jason	change_user_name
val-373	i am jason	change_user_name
val-374	you shall address me as nick	change_user_name
val-375	my name is nick	change_user_name
val-376	refer to me as nick	change_user_name
val-377	the name is nick	change_user_name
val-378	you could say my name is nick	change_user_name
val-379	i am camile	change_user_name
val-380	what place were you born at	where_are_you_from
val-381	where were you born as a kid	where_are_you_from
val-382	tell me where you were created	where_are_you_from
val-383	what place were you made at	where_are_you_from
val-384	what place were you actually born at	where_are_you_from
val-385	what place do you come from	where_are_you_from
val-386	where do you hale from	where_are_you_from
val-387	what place were you born	where_are_you_from
val-388	where are you from before you got here	where_are_you_from
val-389	let me know when you were made	where_are_you_from
val-390	where you from	where_are_you_from
val-391	where are you from if i may ask	where_are_you_from
val-392	where are you from oroginally	where_are_you_from
val-393	where are you originally from before coming here	where_are_you_from
val-394	what's your home town	where_are_you_from
val-395	what country are you from	where_are_you_from
val-396	are you from here	where_are_you_from
val-397	were you made here	where_are_you_from
val-398	where did you come from	where_are_you_from
val-399	you were made where	where_are_you_from
val-400	i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there	shopping_list_update
val-401	is it possible to add grapes to my shopping list if they aren't on there already	shopping_list_update
val-402	please add bananas to my shopping list unless i already did	shopping_list_update
val-403	can you add apples to my shopping list if they aren't already on there	shopping_list_update
val-404	would you be willing to add bread to my shopping list if i haven't already	shopping_list_update
val-405	i'm out of cleaning supplies, remind me on my list	shopping_list_update
val-406	i don't have any more steak, please put that on my grocery list	shopping_list_update
val-407	i'm out of apples, add that to my list	shopping_list_update
val-408	i have no oranges, put them onto my list	shopping_list_update
val-409	do i have peanuts on my shopping list if not please add it	shopping_list_update
val-410	do i have soda on my shopping list if not please add it	shopping_list_update
val-411	i'm out of kleenex so will you put that on my shopping list	shopping_list_update
val-412	i'm out of paper towels so will you put that on my shopping list	shopping_list_update
val-413	i'm out of toilet paper so will you put that on my shopping list	shopping_list_update
val-414	do i have graham crackers on my shopping list if not please add it	shopping_list_update
val-415	i'm out of clorox wipes so will you put that on my shopping list	shopping_list_update
val-416	do i have tortillas on my shopping list if not please add it	shopping_list_update
val-417	i'm out of laundry detergent so will you put that on my shopping list	shopping_list_update
val-418	do i have cheese on my shopping list if not please add it	shopping_list_update
val-419	i'd like you to add oranges to my shopping list	shopping_list_update
val-420	what categories of questions can you answer	what_can_i_ask_you
val-421	what kind of questions can i ask the ai	what_can_i_ask_you
val-422	can you tell me what i can ask the ai	what_can_i_ask_you
val-423	what types of things can i ask the ai	what_can_i_ask_you
val-424	what kind of things can i ask the ai	what_can_i_ask_you
val-425	what can i ask the ai	what_can_i_ask_you
val-426	what questions can you answer	what_can_i_ask_you
val-427	what am i allowed to ask you	what_can_i_ask_you
val-428	what all can i ask you	what_can_i_ask_you
val-429	what are you capable of doing and answering	what_can_i_ask_you
val-430	what are you capable of answering	what_can_i_ask_you
val-431	what kinds of subjects do you know about	what_can_i_ask_you
val-432	what are the different subjects that you know	what_can_i_ask_you
val-433	which kinds of info are you familiar with	what_can_i_ask_you
val-434	what kind of information do you know	what_can_i_ask_you
val-435	which subjects can you tell me about	what_can_i_ask_you
val-436	can i ask you all different types of questions	what_can_i_ask_you
val-437	can you answer all types of questions	what_can_i_ask_you
val-438	what topics can you answer questions on	what_can_i_ask_you
val-439	what kind of questions can you answer	what_can_i_ask_you
val-440	i do not have that information	maybe
val-441	i can't give you an answer to that	maybe
val-442	i do not know the answer to that	maybe
val-443	perhaps	maybe
val-444	possibly either one	maybe
val-445	i don't have any idea	maybe
val-446	can't say	maybe
val-447	i couldn't say either could be possible	maybe
val-448	which one i don't know either i guess	maybe
val-449	i just don't know	maybe
val-450	don't have any idea	maybe
val-451	i couldn't say	maybe
val-452	i don't know the anwser	maybe
val-453	couldn't tell you	maybe
val-454	either i am not sure	maybe
val-455	either of them could be i'm not sure	maybe
val-456	don't know	maybe
val-457	idk	maybe
val-458	i don't have an answer for that	maybe
val-459	maybe it does	maybe
val-460	procedure to change oil in car	oil_change_how
val-461	way to change car oil	oil_change_how
val-462	how to change oil of a car	oil_change_how
val-463	how can i change car oil	oil_change_how
val-464	i want to know how to change oil, tell me the steps one at a time while i work through it	oil_change_how
val-465	find step by step instructions on how to change my oil	oil_change_how
val-466	how do i change oil on a car	oil_change_how
val-467	where can i find a page showing my how to change my oil	oil_change_how
val-468	what weight oil do i need and how do i change the oil for my chevy truck	oil_change_how
val-469	what kind of oil do i need for my ford truck and how can i change it	oil_change_how
val-470	what kind of oil and how much do i need for my toyota tacoma truck and how do i do it	oil_change_how
val-471	i need to know how to change my oil and what kind of oil for a 2007 trailblazer	oil_change_how
val-472	what oil do i need for my honda crv and how do i change it	oil_change_how
val-473	i need a tutorial to learn how to change my oil, please	oil_change_how
val-474	what steps do i need to follow to change the oil in my car	oil_change_how
val-475	can you get me simple instructions on how to do an oil change	oil_change_how
val-476	i want to figure out how to do an oil change on my car	oil_change_how
val-477	can you teach me to change my oil	oil_change_how
val-478	can you tell me how to change my oil	oil_change_how
val-479	can you find some instructions on how to change my oil	oil_change_how
val-480	please reserve a table for 2 at lucky's under the name melissa at 7 pm	restaurant_reservation
val-481	i would like to reserve a table for 2 at sam's steakhouse under the name jessie at 6:30 pm	restaurant_reservation
val-482	help me reserve a table for 3 at lucky's under the name crystal at 8 pm	restaurant_reservation
val-483	would you please schedule a reservation for 2 at lucky's under the name sam at 7:30pm	restaurant_reservation
val-484	could you please reserve a table for 6 at lucille's under the name tom at 5pm	restaurant_reservation
val-485	is there a reservation available at ruth chris today	restaurant_reservation
val-486	are there 8pm tables available at texas roadhouse	restaurant_reservation
val-487	book a reservation for 3 at xenophobe under the name zebee	restaurant_reservation
val-488	i need to book a reservation for 3 at xenophobe under the name zebee	restaurant_reservation
val-489	book 3 under the name zebee at xenophobe	restaurant_reservation
val-490	what reservations are available for 3 people at the xenophobe	restaurant_reservation
val-491	under the name zebee book a reservation at the xenophobe for 3	restaurant_reservation
val-492	use the name wheeler to reserve a table for 3 at andrea's steakhouse at 5pm	restaurant_reservation
val-493	make a reservation for wheeler party of 3 for 5pm at andrea's steakhouse	restaurant_reservation
val-494	reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler	restaurant_reservation
val-495	i need a table for 3 at 5pm at andrea's steakhouse under wheeler	restaurant_reservation
val-496	reserve a table for 3 under the name wheeler at andrea's steakhouse for 5pm	restaurant_reservation
val-497	book room for me and her under the name kendra	restaurant_reservation
val-498	allow me to turn on the lights	restaurant_reservation
val-499	make me a reservation for 5 people at village tavern for the calloways	restaurant_reservation
val-500	do i have more than $100 in my pnc account	balance
val-501	what's my pnc balance	balance
val-502	how much is in my pnc account	balance
val-503	how much money do i have in my pnc account	balance
val-504	what is the balance in my pnc account	balance
val-505	can i get beer within my deposit account	balance
val-506	is there enough in my savings account to get a new tv	balance
val-507	could be there be a good amount of money in my checking account to go on a vacation	balance
val-508	can i afford a new tv from my savings account	balance
val-509	will i have enough to get a new roku with my savings account	balance
val-510	do you think i have enough money in my chase account for a new pair of sneakers	balance
val-511	i hope i have enough money in my chase account to buy new clothes	balance
val-512	i am not sure if i have enough money in my chase account to buy a new dress	balance
val-513	i wonder if i have enough money in my chase account for a bike	balance
val-514	i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires	balance
val-515	please tell me how much money i have in my bank accounts	balance
val-516	i need to know how much money i have in all of my bank accounts	balance
val-517	how much money is in all of my bank accounts	balance
